,idf_weight,fakeness_score
main,1.1046840235085245,0.9999988358635954
pleas,1.3722317004845088,0.9888688136363271
two,0.9003274800564618,-0.07455660328175984
no,1.0957180167990006,-0.07966146006252661
other,1.052348820317273,-0.02895084958580585
our,1.3728674987565403,-0.5003243043240124
us,1.3559345352636047,-0.6591511999713748
time,1.1016252402129425,-0.11871023828194938
into,1.1148815582481317,-0.039222185351026395
first,1.132661782516589,0.10867354886731073
them,1.24329279244168,-0.0696138879952255
over,1.1179281215958448,-0.05304373780937266
do,1.2858864290231233,-0.21760273201955194
befor,0.9367663608445521,-0.6397743030652249
just,1.2072574178975164,-0.12526422500638446
now,1.1925235386453192,-0.14097057689091108
my,1.653719836790099,-0.19702756264207844
<number><number>,1.7282792707869101,0.1506201528543245
last,1.1859088121760413,0.33278921473379675
could,1.2913919116481973,0.06212754706688717
news,1.1326148041902342,-0.8492814846601626
most,1.2352532742544546,-0.017048512631473445
mani,1.2845489591543535,-0.04208757190707524
onli,1.241434736546105,-0.09801175643831728
year,1.3537551953329399,0.19427153533067987
becaus,1.3219881296213805,-0.007990155631140139
sign,1.428638711656918,0.9999319422799402
how,1.3660284585688645,-0.19828628218189503
even,1.3457892828575355,-0.0681882111801888
him,1.6136482192140793,0.2996842883222546
through,1.5025056435338748,0.18465499090531612
may,1.3930672659119803,-0.13733671272047476
newslett,1.5445282469390937,0.9999999999999978
these,1.4975238436069018,-0.48595929268007587
those,1.421104565722782,-0.10199678627014153
where,1.398005938045345,0.05203633568354982
world,1.5662666977347077,-0.27139700660742994
then,1.463033181336787,-0.11217035899132721
think,1.3516321930317552,-0.578551620751572
presid,1.6540525957480905,0.09834798756548446
ani,1.4756113064006033,-0.27359929232896174
make,1.4332209346763638,-0.1151453174031295
while,1.4007734691463796,-0.023296458363831762
state,1.6957216276819418,0.01932497577976422
later,1.303059754508784,0.9301930592705392
percent,2.0909981883682325,0.6344252138652426
much,1.499878975269041,-0.008659898319804737
again,1.2854870930754874,0.594068390360218
must,1.3015944208447052,0.46974132457967466
me,1.8645262372660796,-0.10035054848218605
made,1.4549140620962593,0.14277144751500415
